name,group,order,types,description
SDL_SetWindowIcon,6,102,SDL_Window SDL_Surface bool,Set the icon for a window.
SDL_SetWindowKeyboardGrab,6,135,SDL_Window bool,Set a window's keyboard grab mode.
SDL_SetWindowMaximumSize,6,114,SDL_Window int bool,Set the maximum size of a window's client area.
SDL_SetWindowMinimumSize,6,112,SDL_Window int bool,Set the minimum size of a window's client area.
SDL_SetWindowModal,6,145,SDL_Window bool,Toggle the state of the window as modal.
SDL_SetWindowMouseGrab,6,136,SDL_Window bool,Set a window's mouse grab mode.
SDL_SetWindowMouseRect,6,140,SDL_Window SDL_Rect bool,Confines the cursor to the specified area of a window.
SDL_SetWindowOpacity,6,142,SDL_Window float bool,Set the opacity for a window.
SDL_SetWindowParent,6,144,SDL_Window bool,Set the window as a child of a parent window.
SDL_SetWindowPosition,6,103,SDL_Window int bool,Request that the window's position be set.
SDL_SetWindowProgressState,6,151,SDL_Window SDL_ProgressState bool,Sets the state of the progress bar for the given windowâs taskbar icon.
SDL_SetWindowProgressValue,6,153,SDL_Window float bool,Sets the value of the progress bar for the given windowâs taskbar icon.
SDL_SetWindowRelativeMouseMode,9,233,SDL_Window bool,Set relative mouse mode for a window.
SDL_SetWindowResizable,6,117,SDL_Window bool,Set the user-resizable state of a window.
SDL_SetWindowShape,6,149,SDL_Window SDL_Surface bool,Set the shape of a transparent window.
SDL_SetWindowSize,6,105,SDL_Window int bool,Request that the size of a window's client area be set.
SDL_SetWindowSurfaceVSync,6,130,SDL_Window int bool,Toggle VSync for the window surface.
SDL_SetWindowTitle,6,100,SDL_Window char bool,Set the title of a window.
SDL_SetWindowsMessageHook,47,1067,SDL_WindowsMessageHook,"Set a callback for every Windows message, run before TranslateMessage()."
SDL_SetX11EventHook,47,1070,SDL_X11EventHook,Set a callback for every X11 event.
SDL_SetiOSAnimationCallback,47,1073,SDL_Window int SDL_iOSAnimationCallback bool,Use this function to set the animation callback on Apple iOS.
SDL_SetiOSEventPump,47,1074,bool,Use this function to enable or disable the SDL event pump on Apple iOS.
SDL_ShouldInit,20,640,SDL_InitState bool,Return whether initialization should be done.
SDL_ShouldQuit,20,641,SDL_InitState bool,Return whether cleanup should be done.
SDL_ShowAndroidToast,47,1086,char int bool,Shows an Android toast notification.
SDL_ShowCursor,9,244,bool,Show the cursor.
SDL_ShowFileDialogWithProperties,33,874,SDL_FileDialogType SDL_DialogFileCallback SDL_PropertiesID,Create and launch a file dialog with the specified properties.
SDL_ShowMessageBox,31,858,SDL_MessageBoxData int bool,Create a modal message box.
SDL_ShowNotification,35,901,char SDL_Surface SDL_NotificationAction int SDL_NotificationID,Show a system notification with normal priority.
SDL_ShowNotificationWithProperties,35,900,SDL_PropertiesID SDL_NotificationID,Show a system notification.
SDL_ShowOpenFileDialog,33,871,SDL_DialogFileCallback SDL_Window SDL_DialogFileFilter int char bool,Displays a dialog that lets the user select a file on their filesystem.
SDL_ShowOpenFolderDialog,33,873,SDL_DialogFileCallback SDL_Window char bool,Displays a dialog that lets the user select a folder on their filesystem.
SDL_ShowSaveFileDialog,33,872,SDL_DialogFileCallback SDL_Window SDL_DialogFileFilter int char,Displays a dialog that lets the user choose a new or existing file on their filesystem.
SDL_ShowSimpleMessageBox,31,859,SDL_MessageBoxFlags char SDL_Window bool,Display a simple modal message box.
SDL_ShowWindow,6,120,SDL_Window bool,Show a window.
SDL_ShowWindowSystemMenu,6,147,SDL_Window int bool,Display the system-level window menu.
SDL_SignalAsyncIOQueue,24,727,SDL_AsyncIOQueue,Wake up any threads that are blocking in SDL_WaitAsyncIOResult().
SDL_SignalCondition,20,636,SDL_Condition,Restart one of the threads that are waiting on the condition variable.
SDL_SignalSemaphore,20,632,SDL_Semaphore,Atomically increment a semaphore's value and wake waiting threads.
SDL_StartTextInput,8,214,SDL_Window bool,Start accepting Unicode text input events in a window.
SDL_StartTextInputWithProperties,8,215,SDL_Window SDL_PropertiesID bool,"Start accepting Unicode text input events in a window, with properties describing the input."
SDL_StepBackUTF8,50,1208,char Uint32,"Decode a UTF-8 string in reverse, one Unicode codepoint at a time."
SDL_StepUTF8,50,1207,char size_t Uint32,"Decode a UTF-8 string, one Unicode codepoint at a time."
SDL_StopHapticEffect,13,404,SDL_Haptic SDL_HapticEffectID bool,Stop the haptic effect on its associated haptic device.
SDL_StopHapticEffects,13,411,SDL_Haptic bool,Stop all the currently playing effects on a haptic device.
SDL_StopHapticRumble,13,415,SDL_Haptic bool,Stop the simple rumble on a haptic device.
SDL_StopTextInput,8,217,SDL_Window bool,Stop receiving any text input events in a window.
SDL_StorageReady,25,734,SDL_Storage bool,Checks if the storage container is ready to use.
